id, name, password, role, questions, answers
1,HDEVVAG,YGKerIhAkshA,user,"6,9","13,21,6"
2,1R8OKcq,qIGQyYbHi6WJ,user,"2,6","6,13,19,14"
3,mjX8Yd6,pPvXBwyHMdC9,user,"4,8,11,12","13,12"
4,vVPP0Zi,0pbD2ZWj9j22,moderator,"","17,6,8"
5,ySS6Qfs,Okk3fHgsG4Gh,user,"7,5,6,6,5,6","7,12,5,6,6"
6,ILTdXx7,JFUvOQ5rZ7OX,user,"3,10,1","18,8,2,8,21,8"
7,bzTURUG,7ZO50ggAwBRi,user,"6,8,14,2,1","3"
8,OxnjVFE,D2TJBHUrfHQJ,user,"10,4","6,19,15"
9,ui8CyqH,xsTGzPGypnJD,user,"13,9,1,10","3,16,12"
10,nQefzeL,30c1RdYebaI4,user,"4","14,17,1,15"
11,qWtiLO3,cWzFNORrU3jO,moderator,"14,4,9,8,12,8","1,15,7,5,5,20"
12,wc86SiZ,I8cvPTYFg16W,user,"11,8,3,3,3","18,19,13,8,11,14"
13,4EY8cfL,xdiC1SkCujnQ,user,"","6,3,5,10,11"
14,Ly0evDH,KIu9s9I0bXCi,moderator,"9,10,10,12,14","16,15,14,4"
15,Td4gvDS,TfsGqdqtmPmo,user,"12,8,3,5","2,12"
16,KWa6r7J,LX8ODixLzxvZ,user,"11,8,13,8","2,5,15"
